text,label
@VZWSupport When will Bluetooth be fixed with Marshmallow ? My phone my wifes amp several friends utterly useless for handsfree ,"frustrated,bug"
hey another question what do I do about the fact that my Nexus does not record audio in any of my videos ,bug
why cant I use my sd card on the galaxy with the #marshmallow update anymore ?,unsatisfied
hi Motorola moto G generetion just updated to andoid The phone is sufering a lot of bugs ,"unsatisfied,bug"
own a droid turbo and since update it spontaneously stops charging clearing cache no help ,bug
your new update gone messed up my htc ,unsatisfied
the software update is amazing why are all the icons so small though ?,none
really looking forward to the day that Bluetooth actually works in Android N ,bug
marshmallow drains battery any solution in Lenovo turbo ,none
Thanks to my big thumb ive learned I m not a fan of marshmallow I like the reboot of the timer but still not a fan of messages ,unsatisfied
Ever since I got the marshmallow update this has been happening over and over and I dont know how to fix ,"unsatisfied,bug"
you are the platform of choice for many LGBT Join the other sponsors Stop adv with @thecw #endqueerbaiting ,none
my samsung downloaded a software update and contacts do not appear What can I do ? #AprilFools ? ,"unsatisfied,bug"
Dude So many new emojis But yet no shark emoji,none
My camera just up and stopped working Wtf ! I rebooted cleared cache fix your wonky product ! @Moto_Support ,"frustrated,bug"
Thanks to my big thumb Ive learned Im not a fan of marshmallow I like the reboot of the timer but still not a fan of messages ,unsatisfied
my @SamsungUK Note worked perfectly until this AM after updating to of Android WHAT IS GOING ON ??,"frustrated,unsatisfied,bug"
why cant I find the Zayn robot you tweeted ? ?? did you delete it or ?,none
@Android my #Apple #iphone was #hacked . and do you believe that @AppleSupport hung up on me _NUM_ maybe ill get that new _NUM_,none
my android version is and is erasing files from my sd card i need help please ,bug
how to copy tweet in marshmallow clipboard doesntworking ,bug
How to fix bluetooth disconnection issues after marshmallow update on samsung galaxy ,"unsatisfied,bug"
@VerizonSupport used it as an opportunity to pack on more #bloatware ,none
N is now downloading slowly on a device near you ,none
updated to #Marshmallow today Seems cool so far but @VerizonSupport used it as an opportunity to pack on more #bloatware ,none
hi Im nur ffs I like the rolling eyes emoji Bring it to android ,none
why we cannot downgrade iOS version ? People should be free to choose what version run on their own iDevice ,unsatisfied
how do I turn night shift on the iPhone Plus back on I try to turn it on but its not turning on cuz its grayed out ,bug
what have u done to my battery ? I just lost in the last minutes ,frustrated
fix this shit on my keyboard it freezes when I go to emojis amp wont switch back to the ABC keyboard insert sad face emoji ,"frustrated,bug"
why did my phone just crash and delete all of my imessages and text messages in the space of seconds ?,bug
Hi wonder if you can help Brought my son the iPod for Xmas it now wont  charge at all ? Is there anything you can do ? Thx ,bug
LGBT fans deserve better stop supporting @TheCW REASONS TO FIGHT ,none
why do your chargers sucks ass ,frustrated
my has problem with links not working in Safari and mail This is widespread see Apple community ,bug
WHY DO YOU HATE ME ,frustrated
putting volume amp on off buttons directly across from each other on iPhone _N_ worst apple design ever #applefail #iPhone #Apple ,frustrated
having issue with my girlfriends iPhone We got it out of bootloop through an iTunes update pics and mms threads mia ,bug
YOU LITERALLY MAKE THE GLASS OF IPHONES SO BREAKABLE SO WE CAN PAY SO MUCH MONEY TO GET THEM REPLACED BY U GUYS I AM FURIOUS ,frustrated
iPod touch music app screen has gone blank after syncing with iTunes ! Help !,bug
my iPhone is asking me to change my password in minutes does anyone else have this problem !,bug
Cannot change country of Apple ID credit balance dont have credit card already got new phone number What now ?,bug
my apple music seems to have disabled itself keeps asking me to re registee Checked payments still being made monthly ,bug
safari crashing on iPhone with iOS please help !,bug
can someone explain to my why my replacement of your iMac over cant be located ? Spoken to reps nearly an hour each ?,"frustrated,bug"
help out my phone aint updating any apps or downloading either on wifi or mobile data ,bug
Guys cant get links working to websites on google since update What have you done ?!,"frustrated,unsatisfied"
Thx Apple Chadstone iPad stopped working amp month out of warranty Outcome replaced with a new one ! #customerexperience ,none
cant delete bonjour from my pc you guys suck ,"frustrated,bug"
Reply to your DMs !,frustrated
if it doesntrestore I am going to cancel the trail before it even ends ,"frustrated,bug"
MacBook Pro trackpad completely stopped working cant use it at all ,bug
dont work message notifications !!,"frustrated,bug"
i need help ,none
@AppleMusic @iTunes help where is the music ,none
I m syncing the stuff from my iPod onto my phone and it has been on this step for over an hour ?? ,bug
ever since yesterday I havent been able to download any songs on my phone from Apple Music and I m still paying for it ,bug
I love Apple products but the update notification has showed up times in the past hour ! its killing me ??,frustrated
no links working on safari and Mail on Unacceptable Apple real downer for people who upgrade to the latest os ,"unsatisfied,bug"
Can you guys make a phone that doesntturn on in my pants ?,bug
iphone IOS but suddenly links wont  open and safari crashes Any ideas to fix ?,bug
is it some kind of scam or some new security features ? ,none
@iTunes WTF U DOIN ,frustrated
I need help agaip ,none
uhh Apple Me and my hg kinda over here confused on how people adding themselves back in group messages ,none
help ? I cant use my ipad This keeps coming up I refuse to ruin my pc with iTunes ,"frustrated,bug"
since the iOS update I m not able to click on website links on safari or anything on the Internet ,"unsatisfied,bug"
has iCloud stopped working ? I m not getting email on my iPhone or Laptop ,bug
why yall gotta make shit so complicated ?? ,frustrated
if i wanna refund or do anything to tell the dev Of Quik App old name Replae make a shit for in app i paid before How ?,frustrated
I was warned that my payment for iCloud didnt work credit card changed so I changed it Now I m on Now what ? Do I buy ,bug
STOP LOCKING MY ACCOUNT ! MY PASSWORD AND SECURITY ANSWERS ARE RIGHT !,frustrated
Stop sending Chinese ads for the from my phone ,none
hi ! My iPhone keeps switching to silent automatically ! Any solution ? ??,bug
my volume on my phone doesntwork and when I have my headphones in it is the only way I can talk on the phone with people why ,bug
My iPhone doesntgive notifications no matter what I do ,bug
obviously theres a huge problem with hyperlinks freezing on Apple devices Can we Apple Users get some support ?,"frustrated,bug"
why the doesntprovide enough battery backup Is this what we paid over for ?,frustrated
cant access iCloud it wants a new password dont force the number capital amp lower case letter thing please ,frustrated
why am I getting charged for FREE apps and updates ? That really defeats the purpose of an app being FREE ,frustrated
my MacBook Air wont  turn on but the charger is working and has been charging for like minutes now any tips ?,bug
it says I dont have Internet but I m clearly hooked up to wifi ?? ,bug
it will not send my DMs to you guys !,"frustrated,bug"
why does Apple Music disappear randomly ? ,bug
I bought the new Beyonce album earlier this week and its disappeared and unsearchable from my Music How do I get it back ?,bug
needs to stop playing and make me a jet pack ,frustrated
thanks for selling me a brand new iPhone with a broken camera and glitchy display ,"frustrated,bug"
hi your latest iPhone update has left my phone with a unable to activate message and iTunes cant fix it please help ,"unsatisfied,bug"
my iPhone on has a problem where I cant open Safari links Can you help ?,bug
Is there no way to update an Apple Watch from to if I m using iOS This is ridiculous ,frustrated
autocorrect real sus tbh ,none
my Plus screen broken Apple Store in dubai insisted I had to give them my ID and password to replace screen Is it normal ?,none
I love the iPhone but it has too many problems with the antennas I hope the iPhone is much better ,bug
You know I love you guys as a company But seriously ? Why so many freaking updates new products amp compatibility issues ??,"frustrated,unsatisfied,bug"
using iPhone SE home button is fully functional but there are glitches like delayed response etc Hope u push a fix update,bug
were tired of this future shit ,frustrated
go back to tired of this futuristic crap Do something new with the game engine Focus on main story too ,"frustrated,unsatisfied"
@Halo END SPAWNKILLING #EndSpawnKilling ,frustrated
Maybe its time you listened to the fans ? ,"frustrated,unsatisfied"
in Space Seriously @Activision @InfinityWard ,none
Fuck you and your queer ass severs !! theyrebullshit !,frustrated
What is being done to get rid of god mode ? Call of duty is no longer fun because of this ,"frustrated,unsatisfied"
your games are about as cool and hip as the Holocaust ,frustrated
I Just got about thirty supply drops and this was the best thing I got Is my account broken or what ?? ,bug
STEP UP YOUR GAME ! ,frustrated
fix your fucking servers ,"frustrated,bug"
On the Twitch stream the narrative director said going to space was something evrybody wanted ? Is that a joke ? #InfiniteWarfare ,frustrated
you guys ruined your games after black ops REMASTER AN OLD GAME NOTHING NEW YOU GUYS SUCK WITH NEW SHIT ,"frustrated,unsatisfied"
@Treyarch Any chance you can make spawns worse ? I dont feel like Ive had a proper game if Im not spawn killed times a match ,frustrated
This easter egg hunt is cool Except for the fact that I cant participate because I m playing on PC So thats cool ,none
HC TDM leaderboarss not updating Whole mornings kills and score not recorded ,bug
Why cant you guys ever listen to your fans ? We ask to go at least to present warfare and you put us more into the future ,"frustrated,unsatisfied"
I m sorry but I think now is that rise of battlefield they listened to us and you didn n ,frustrated
what fuck you must change something in zombie ,"frustrated,unsatisfied"
@BlackOps_Tips got a double kill using gravity spikes and it didnt tally on my count towards u locking Vicki g suit for ruin ,bug
@InfinityWard yall lame for making us wait for a trailer ,frustrated
At least shutdown the fucking servers for the old cods so the hackers dont win How the fuck do u focus on new cods with this ,frustrated
stop give up noone wants future shit ,"frustrated,unsatisfied"
you guys just dont understand do you We DONT want jet packs !,"frustrated,unsatisfied"
Do you guys even listen to your fans ?,"frustrated,unsatisfied"
degenerate fucks Id do better at making the fucking cods smh you dont listen to what the people that actually play it want !,"frustrated,unsatisfied"
so I prestiges and I used refund but nothing happened and I m a little frustrated ,"frustrated,bug"
Id hate to say it but CS GO is kicking your ass know and will be forever until someone decides to make a CS GS Battlefront ,frustrated
RIP ! Go back to WWII ,"frustrated,unsatisfied"
other devs think its cool and if i start having to pay for a regular game imma be pissed ,frustrated
I think its time to make a boots on the ground COD again go back to the roots you are almost at mil dislikes ,unsatisfied
Better change what theyredoing with this Call Of Duty @Battlefield is going to take their place and be amazing ,unsatisfied
cod has fell off literally takes no skill i can put in a kid but then he can just fly away or just jump high an me ,"frustrated,unsatisfied"
your servers are acting up and there is insane lag ,"frustrated,bug"
these comments every day become more regular #RIPCoD ,none
why not give back to the fans by listening to what they want and not try to suck every last cent from their wallets ?,"frustrated,unsatisfied"
go back to the modern ages like or something ,unsatisfied
SERVERS ARE DOWN ,"frustrated,bug"
I have been critical on the series the last few years BUT COD remaster ? WOW ! #ImBack,none
why all the servers on other consoles and PC are great but have to suffer I dont see how you all are doing your jobs right ,frustrated
ive installed Chrome on Windows but not starting up ? Is there a solution ? its on my desktop and menu but not starting ?,bug
tried to chromecast #GameofThrones and it was blocked Fix that asap ,"frustrated,bug"
Why was chrome down this morning ?,bug
I am having an issue with Talkback on Google Chrome Android ,bug
chromecast is a piece of poop ,frustrated
where can i raise a bug with chrome ? found a performance issue with multiple input fields with a text aligt ,bug
M having trouble saving pages The pages save to about n just stops Tried on several sites same issue Latest ,bug
Why do you always crash when I copy paste anything ?! Everytime ,"frustrated,bug"
latest #chrome struggling in developer tool network tab by switching between #websocket connections #javascript #debug ,"unsatisfied,bug"
I have a big problem with Google Chrome ! Help me please !,"frustrated,bug"
Whats wrong with your stupid app ? Constantly freezing for no reason Been like this for days now ,"frustrated,bug"
why are you glitching !?,"frustrated,bug"
On the page #chrome # cemore # cedirece Note This page will show memory use for all running browsers not just Chrome #wtf ?,"frustrated,bug"
Thanks for making Quit be crtl SHIFl S @firefox @TorTorbrowser Please do the same q is so close to w its esp bad w TBB !,frustrated
Any way to stop my from reloading my tabs ? I hardly do anything and it always reloqds and slows the tab down ,bug
help !! no audio when casting movies from macbook pro popcorntime Any solutions ??,"frustrated,bug"
Will the HP chromebook be supported ? The is and the is as well Whats up with the ,none
Not sure why you were not responding but thanks for restoring all my tabs after I had to force quit you ,bug
Maybe dont ask me to be my default browser when you no longer support updates to my Ubuntu laptop Because its one ,"unsatisfied,bug"
keeps hanging Is this a known issue or is it just me having issues ? #annoying ,"frustrated,bug"
Your android upgrade today removed all of my open tabs Going thru history to get them back is onerous can you fix this ?,"frustrated,unsatisfied,bug"
there is no option to print from chrome in landscape position please add ASAP !,frustrated
@babeljs Could it be that chrome breaks babels handling of default values by returning null instead of undefiened ?,bug
you nice girls and boys surely need to fix the video feeds on this old mans #Chromebook My videos run better ,bug
GET YALL SHIT TOGETHER I CANT PLAY NO VIDEO CONTENT FROM YOUTUBE OR ANY OTHER SITES CUZ OF YOUR FLASHPLAYER PROBLEM FIX THAT ,"frustrated,bug"
do you ever feel bad about being the slowest browser ?,none
only tab z open amp this is d memory usage Did u stop asking time space complexity ques in interviews ? ,frustrated
U need to #FIX your stupid java script Whatevers used for lineup leaderboard NEVER can full results ,"frustrated,bug"
@opera Block Opera VPN from leaking your IP address ,none
why is viewing a certificate issuer now clicks instead of ,unsatisfied
Is this the latest update on the bug ? Eg still not possible ? ,"unsatisfied,bug"
Also why did your application go from fast and light to shitty bloatware taking of multiple gb ,"frustrated,unsatisfied"
Racist game at Chrome web store Why is this allowed ? ,none
are there are recent issues with the #omnibox ? The magical search I m used to has for the most part stopped working ! ,"unsatisfied,bug"
how do I fully shut down my toshiba chromebook I did yesterday on battery and today when turned on battery was dead ,bug
please i need ur help ! i dont have sound with google chrome !! and i have not found a solution yet !! could you help me please ,"frustrated,bug"
hi each time I close the window on mac and I open a new window chrome open the last tab I closed How to stop that ? thanks ,bug
Your browser is defaulting to Bing and I dont want to use Bing Why is this ?,bug
my location services have been out of service for the past couple of days Bug ?,bug
you nice girls and boys surely need to fix the video feeds on this old mans #Chromebook My videos run better ,bug
Thanks goodness an update is here ! All my favorite pages were screwed up,frustrated
how about bringing the logout button back instead ? ,unsatisfied
you fucked up ,frustrated
is down ,bug
your new icon looks like a task given in Graphics in year ,unsatisfied
how many more times can you update your app and use the same description ? ,unsatisfied
And btw Where the F is the log out button ??,frustrated
Please oh please consider reverting to the old logo icoo havent talked to anyone yet who likes the new amp improved one ,unsatisfied
Hello why is the Linked Accounts not working properly on Android as on iOS ? It is constantly logged out when switching accounts ,bug
found some bugs ,bug
can I please talk ASAP about being locked out of our account @theminimalistvegan contact is info @theminimalistvegao @com thanks ,frustrated
my ig name is and I would Like to have with only n but its taken by an unused account from help ,none
why are ppl I recently followed am I now no longer following when I didnt even unfollow them ??,bug
what do I do about being tagged in literally spam photos every time I post my own photo ? My notifications go crazy ugh ,"frustrated,bug"
can I please just view my feed in order this sucks I end up missing more posts because of this bullshit ,frustrated
please help ! I dont know what happened But I m not able to comment or post I think I was hacked ,bug
thanks to your new algorithm my pictures get less likes It sucks #switchitbackinstagram ,"frustrated,unsatisfied"
what the fuck is this views thing ?,frustrated
why cant we yet select a single pic to be public or private ? Allowing the option for the whole account only is very old school ,unsatisfied
Help the @OficialSamuel to recover the account ??????,none
Help the @OficialSamuel to recover the account Please !,none
this is America so why am I limited on who I am allowed to tag on Instagram can yall stop smoking so much weed and figure it out ,frustrated
not only is your new icon unattractive you threw away the authenticity of an old design that made you stand out ,"frustrated,unsatisfied"
youre being so annoying today ,frustrated
your suggestions why ?! They do not make sense !,frustrated
THE FUCK YOU DOING WITH THE NEW APP LOOK ? fuck that shit ,"frustrated,unsatisfied"
help !,none
please ,none
Been waiting over weeks for help ! Can someone please remove the spam block on my profile ? My link also needs clearing ,bug
i miss the old app icon ,unsatisfied
I absolutely despise the new update !! #BringBackTheOldInstagram ,"frustrated,unsatisfied"
if youre going to stop party apps like #Flipboard accessing my account at least add iPad support #Facebook #Zuckerberg ,none
If the switch accounts feature isnt yet universal how can I manage multiple accounts when the log out button has gone in IOS ?,unsatisfied
please tell me whats going on with account IamChinaRenee ,none
can you guys help me ?,none
your update sucks I cant even log out ,"frustrated,unsatisfied"
your new layout is terrible auto rotate the wrong way regardless of how I take a picture and dont have a rotate button #garbage ,"frustrated,unsatisfied,bug"
your new logo is sucks and the algorythm just stupid Please i want to see my timeline with the most recent photo !!,"frustrated,unsatisfied"
New updated app takes from my phone ? #NotAppreciated #NotCool ?,"frustrated,unsatisfied"
wants to be @Virgin so bad with these reds and purples ,none
Your help center Bot replies immediately and then no follow uw What is so hard about re enabling an account ? #instagramlogin ,frustrated
and then I received the sms but when I tried to write the code I didnt find where to I closed and opened the app and ,bug
I m sorry but I absolutely HATE the new update I really dont like the way it looks Please change it back it was perfect ,"frustrated,unsatisfied"
Help the @OficialSamuel to recover the account ,none
Are you trying to drain the life out of everyone who uses your app ?,frustrated
ive tried using your help options but nothing helped I need assistance ,"frustrated,bug"
ive just post comments on my own foto Is that necessary ? I cant understand it Best regards ,none
Help the @OficialSamuel to recover the account ,none
itd be nice to find a way to jump straight to a comment you are mentioned in I can report the post postet but not find comment ,none
cant log out or use multiple accounts anymore Dont put in a new function only to take it away ,"frustrated,unsatisfied"
look ugly is that permanent bc I hope not ,"frustrated,unsatisfied"
ive been logged out of my Instagram and I am not receiving and verification code could you sort it out from your end ,bug
is really struggling with those spam accounts ,frustrated
get your sh t together so I can tag my fraands in posts that are of the immature and inappropriate type ,frustrated
youre ruining my life #logoutbutton #instagram ,frustrated
ex employee with our companys insta password just deleted our account Is there a way to restart a new one with same username ?,none
why my instagram profile pictures can not be replaced ?,none
yall asked Future to design ur new logo didnt u shoulda know he was gonna google search that shit ,unsatisfied
what have you done ?? i cant see any of my friends posts only popular and famous people please change ,"frustrated,unsatisfied"
why cant I tag my sister in things ? I follow her but it dont let me tag her ,bug
soo When is yall gon fix the app so I can logout and add another account ? ,unsatisfied
you look stupid ,frustrated
why can I only see like pictures when I click on a hashtag ??,bug
please change back to the old icon its so much nicer ,unsatisfied
Help the @OficialSamuel to recover the account !,none
the new colorless layout is ugly !! sorry bring back the old layout with colors please !! #NewInstagramLogo #instagram ,"frustrated,unsatisfied"
how can I get my timeline back to chronological ? I m missing so many posts that have been pushed away now I dont want this !,"frustrated,bug"
Love the new client ! Still #droppingtheball on return #formatting Unpredictable and utterly #frustrating ,"frustrated,unsatisfied"
I can not connect to my friends world it says he is running an updated version of the game he had update I didn n ,bug
please change my name back Apparently it is considered inappropriate by members of @HypixelNetwork Right now it is xKYS so ,none
WHEN WILL MINECRAFT STORY MODE EP BE FIXED !!,"frustrated,bug"
What is this ? And what can I do ? ,bug
lets hope I make sense will users ever be able to co own a world so more than original host can access it independently ?,none
if you wanna watch a group of idiots fail at minecraft then please follow for future content #minecraft #youtube #follow ,frustrated
what is going in with update Friend is Australia but I dont have it Plus trying to find notes on it as well @Mojang ,"unsatisfied,bug"
my min craft or keeps kicking me out when I try to enter a world ,bug
My brother just purchased some texture packs and some skin packs on the and it wont  give it to him ,bug
Why did anyone feel that nudging added anything to the quality of the game ?,unsatisfied
Xbox Live on Free Skin Pack saying Purchase and untitled hopefully this isnt a virus or bug and just needs an update ,bug
@Mojang I am having some trouble changing my minecraft skin on the website Plz help me ,none
@Microsoft @MojangSupport If you advertise twitter as a method of contact you actually need to respond NOT GOOD PR Microsoft ,frustrated
Why no #MineconPhilippines ?,none
@jeb_ I think I m gonna cry ,none
is it possible to make the Maps bigger in Minecraft Wii U Edition ? These Maps are too small ,none
give me my account back some russian kid stole it from me give Bantagonist back ,none
@Mojang you need to change minecraft so that diamond tools and diamonds cant burn in lava Read this ,frustrated
Nice alot of servers are down why is it that we cant buy ranks ?,bug
I had made sure that my information for logging in was correct and it was i was unhappy becuase it would not work so i made a ,frustrated
help my minecraft pc isnt letting me go on there and I have got correct details and have reset pw wont work help ? please ,bug
getting a Error ! The provided child e mail does not match the parental consent request e maie even tho followed link from email ,"frustrated,bug"
@MojangSupport My MC skin is too large ? It worked before the site update but now its not working ,"unsatisfied,bug"
@Mojang @MojangSupport @MojangStatus Dont bring in the EULA #StopMojangEULA ,unsatisfied
#minecraft just uninstalled and reinstalled latest version still fatal error no good crying child need a #refund ,"frustrated,bug"
Yep gonna die and loose a lot of stuff soo umm yeah this sucks ,frustrated
hello i like the game minecraft but i dont like to import mods with forge i like to can import mods with forge,none
I breed enough cows get to build a library Uh breeding limit is reached So I dont get books or item frames ?,none
im having problem My server always disconnects ,bug
will minecraft be moving on to and also will be better than ,none
Why Snapchat I can not be opened again after updates ,"unsatisfied,bug"
why is the dog filter still a thing end it please ,none
@snapchatsupport wheres the lashes update for do it ! please ,"frustrated,unsatisfied"
can you get rid of annoying concert snap chat stories ? please and thank you ,frustrated
what have you done ,frustrated
I follow all your rules why is my account keep getting locked GeGe lee ,bug
Why cant I have the filter of the Joker ? So want to use it ! @SuicideSquadWB so awesome !!,frustrated
how dare you ,frustrated
Pls ma bois I need the koala filter to continue with my happy life Why you do this to me ? #koalaface ????????????????????????????,none
dear snapchat please oh please put the call and video chat button in a different location i accidentally hit it times a day ,frustrated
ur new update sucks fio I dont wanna see every peasants stories I m friends w ,frustrated
Is this not working shenanigans an April Fools or something ?,"frustrated,bug"
I got money to make on snapchat unlock my shit lol ,frustrated
Bernie Sanders was born and raised in New York just like Trump why would you word the geo filter as you did ?,none
your update makes me not want to watch anyones stories change it pls ,unsatisfied
@snapchatsupport video recording failed whyy ??!,bug
I dont appreciate yall updating to this ugly ass stupid ass update then yall gone fuck it up at that ? Com on now ?,"frustrated,unsatisfied"
We couldnt get a Haitian flag day filter today ??,none
yall need that do not disturb button mayyne ,none
eats my battery as fast as a starving fat guy would eat McDonalds ?,frustrated
why do you do this to me ,frustrated
please get rid of that dog filter please !!,"frustrated,unsatisfied"
the new way to view stories is stupid please fix it ,"frustrated,unsatisfied"
not a big fan of the new update on how it combines and rolls through your snapchats its better without it ,unsatisfied
seriously ,none
i dont want to see everyones stories ,unsatisfied
fix ur problems please youre freezing my phone and I cant see stories ,"unsatisfied,bug"
can you stop draining my battery ? Thanks ,frustrated
i lost my day streak with someone when it was only hours since we snapped back and forth why ,bug
Could You Activate the LexaFilter for today ? lgbt movement could use a distraction as the aftermath of finale of theloo awaits us ,none
